答案,題目,選項A,選項B,選項C,選項D,
3,關於版面配置的敘述，下列哪一項錯誤？,一個畫面中可以包含多層版面配置,一個畫面中可以包含多個版面配置,可以使用的Layout包含FrameLayout、HtmlLayout,在LinearLayout元件中，可以透過android:orientation屬性定義內容元件排列方向,
3,下列哪一項是建立RecyclerView元件所使用的程式語法？,android.v7.widget.RecyclerView,android.support.widget.RecyclerView,android.support.v7.widget.RecyclerView,android.control.v7.widget.RecyclerView,
1,當使用者點選mailto:info@example.com連結時，Android會用到下列哪一項物件？,Intent,Service,ContentProvider,EmailManager,
2,若要在Android Studio中修改SDK路徑或JDK路徑的設定，可以在下列哪一項進行設定？,File/Settings,File/Project Structure,File/Import Settings,File/Export Settings,
3,Android中的DownloadManager系統服務，下列哪一項類別可用於過濾DownloadManager的查詢？,DownloadManager.Start,DownloadManager.Request,DownloadManager.Query,DownloadManager.Open,
2,下列哪一項是Android Stutio預設使用的自動化建置工具？,Ant,Gradle,Maven,Makefile,
2,想在電視設備上執行Android應用程式，必須在AndroidManifest.xml中，替Activity增加下列哪一項過濾器中的類別才可以讓Google Play區分識別？,android.intent.category.LAUNCHER,android.intent.category.LEANBACK_LAUNCHER,android.intent.category.DEFAULT,android.intent.category.EMBED,
1,如果要在type-to-search時在自己的應用程式內做搜尋，下列哪一項正確？,在Activity內呼叫setDefaultKeyMode(DEFAULT_KEYS_SEARCH_LOCAL),無法修改此預設行為,在Activity內呼叫setDefaultKeyMode(NONE_GLOBAL_SEARCH),在Activity內呼叫setDefaultKeyMode(DEFAULT_KEYS_SEARCH_GLOBAL),
3,在應用程式中可使用PowerManager.WakeLock來控制手持設備螢幕維持喚醒狀態，下列哪一個方法在離開程式時需被呼叫以釋放被喚醒狀態？,destroy(),acquire(),release(),disconnect(),
3,如附圖所示之專案參數設定，下列哪一項是編譯後action屬性name的內容值？,${applicationId}.VIEW,tw.com.tqc.demo1,tw.com.tqc.demo1.VIEW,VIEW,
1,關於Context#openFileInput的使用方式，下列哪一項可以正確執行（假設路徑上檔案都存在）？,"openFileInput(""aaa"")","openFileInput(""../aaa"")","openFileInput(""aaa/bbb"")","openFileInput(""../files/aaa"")",
2,如果要將資料存放到外部儲存（External Storage），需要開啟下列哪一項權限？,android.permission.INTERNET,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SETTINGS,android.permission.READ_EXTERNAL_STORAGE,
1,Android提供Multi-window多視窗顯示，可以同時顯示多個應用程式的功能，下列哪一項配置參數是開啟或停用多視窗顯示的屬性？,android:resizeableActivity,android:supportsPictureInPicture,android:inMultiWindowAndroid,android:inPictureInPicture,
3,關於Service的敘述，下列哪一項正確？,Service負責描繪使用者介面,長時間運行Service會造成程式執行延遲,不會造成目前執行的Activity停止,即使系統記憶體不足時，Service也不會無預警被關閉,
3,利用Android Studio開發專案時，若要匯入專案的設定資訊，需要利用下列哪一項功能？,File/Settings,File/Project Structure,File/Import Settings,File/Export Settings,
1,下列哪一項為Log語句的正確格式？,"Log.d(識別字串,記錄內容)","Log.e(記錄內容,代號)","Log.s(識別字串,記錄內容)","Log.d(記錄內容,代號)",
1,要在程式中取得SIM卡內的相關資訊，可使用下列哪一項Manager物件？,android.telephony.TelephonyManager,android.telephony.SmsManager,android.telephony.SimManager,android.telephony.ContentManager,
123,通知通道（Notification Channel）需要設定的資料包含下列哪些？,channel id,channel name,channel priority,channel icon,
1,在應用程式中要搜尋附近的藍牙裝置時，需註冊一個BroadcastReceiver，並攔截下列哪一個廣播訊息事件？,BluetoothDevice.ACTION_FOUND,BluetoothDevice.BOND_BONDED,BluetoothDevice.ACTION_ACL_CONNECTED,BluetoothDevice.ACTION_DEVICE_FOUND,
4,下列哪一項不是手機接聽電話的狀態？,TelephonyManager.CALL_STATE_IDLE,TelephonyManager.CALL_STATE_OFFHOOK,TelephonyManager.CALL_STATE_RINGING,TelephonyManager.CALL_STATE_HOOK,
4,關於Button介面元件的敘述，下列哪一項錯誤？,Button類別繼承自TextView類別,可以透過Button.setOnClickListener函式來為按鈕加上事件處理函式,可以透過在XML檔定義Button時加入android:onClick屬性來為按鈕加上事件處理函式,可以在程式中透過Button.setPositiveButton語句來建立獨立的按鈕,
4,關於影音類別的敘述，下列哪一項正確？,可以用MediaRecoder類別來播放影音,可以用MediaController類別來控制語音輸入,可以用MediaController控制圖片輪播,可以用MediaPlayer類別來播放影音,
1,Android提供下列哪一項Activity供開發者可以繼承，並迅速開發應用程式的設定畫面？,PreferenceActivity,MapActivity,SettingActivity,TabActivity,
34,在Android Studio中有許多檢視專案結構的瀏覽模式，包含下列哪些項目？,Scratches,Problems,Project,Packages,
13,開發計步器應用程式時，會使用到下列哪些Sensor？,Sensor.TYPE_STEP_COUNTER,Sensor.TYPE_PRESSURE,Sensor.TYPE_STEP_DETECTOR,Sensor.TYPE_ACCELEROMETER,
3,Android系統未內建支援下列哪一項檔案格式？,.mp3,.jpg,.rm,.png,
3,在Android中，如果要使用拒接來電（BlockedNumberContract）功能，需在何處新增拒接號碼？,ContactsContract.Contacts.CONTENT_URI,ContactsContract.CommonDataKinds.Phone.CONTENT_URI,BlockedNumberContract.BlockedNumbers.CONTENT_URI,ContactsContract.Contacts.CONTENT_FILTER_URI,
1,如附圖所示之JSON格式資料，如果將其命名為strJSONValue，下列哪一段程式碼可以解析出「大雄」？,^[GD90401],^[GD90402],^[GD90403],^[GD90404],
123,關於android.content.ContentProvider.getType(URI uri)的敘述，下列哪些正確？,回傳傳入URI對應資料的MIME Type,如果對應的資料為單筆，則應回傳vnd.android.cursor.item/vnd.yourcompanyname.contenttype,如果對應的資料為數筆，則應回傳vnd.android.cursor.dir/vnd.yourcompanyname.contenttype,此方法為ContentProvider的Final Method，不應該被自訂的Content Provider覆寫,
123,繼承Content Provider時，下列哪些方法必須自行實作？,QUERY,INSERT,DELETE,DROP,
4,關於Broadcast Receiver的敘述，下列哪一項錯誤？,在Broadcast Receiver中可透過NotificationManager產生提示訊息,Broadcast Receiver主要運行在onReceive函式中,可以在Broadcast Receiver中start Service,Broadcast Intent後會啟動對應的Activity,
1234,Android模擬器可以模擬下列哪些內容？,GPS位置,來電顯示,簡訊,通話（撥打電話、接聽電話）,
1,當使用者點選http://www.example.com連結時，Android會用到下列哪一項物件？,Intent,HttpManager,Chrome,WebManager,
3,關於在Android上播放影音，下列哪一項錯誤？,支援串流播放,支援播放在記憶卡中的影像,系統內建的播放器可列出應用程式中的影像,其他應用程式可直接呼叫系統內建的播放器,
4,在Activity中要保存目前程式的狀態，適合於運行到下列哪一項方法時儲存？,onDestroy,onStop,onResume,onPause,
4,若要下載Android版本升級套件或API升級套件，需在下列哪一項進行設定？,Navigation Editor,Android Device Monitor,AVD Manager,SDK Manager,
4,下列哪一項為錯誤的Log方法？,Log.d,Log.e,Log.i,Log.s,
12,Android中ANR是由下列哪些系統服務監視？,ActivityManager,WindowManager,AccountManager,AccessibilityManager,
2,如果已經在Android專案中，res/values/styles.xml檔案的<style>標籤中定義完成一個名稱（name）為mystyle的樣式，下列哪一個屬性設定可以將mystyle樣式套用到TextView元件上？,"theme = ""@style/mystyle""","style = ""@style/mystyle""","name = ""@style/mystyle""","label = ""@style/mystyle""",
13,下列哪些intent-filter內的設定，是在實現APP Links功能時所必須設定的？,"<action android:name=""android.intent.action.VIEW""/>","<action android:name=""android.intent.action.GET_CONTENT""/>","<category android:name=""android.intent.category.BROWSABLE""/>","<category android:name=""android.intent.category.LINKS""/>",
123,Android開發工具所支援的作業系統有下列哪些？,Windows,Linux,Mac OS X,FreeBSD,
1,下列哪一項屬於System Service？,NotificationManager,ContentProvider,MediaService,PreferenceActivity,
1,如果要使用JobScheduler來執行背景工作，Android的API版本需要在幾版以上才有支援？,API 21（Android 5.0）,API 23（Android 6.0）,API 25（Android 7.1）,API 27（Android 8.1）,
3,關於LinearLayout版面配置元件的敘述，下列哪一項錯誤？,LinearLayout元件中，可以包含多層版面,一個畫面中可以包含多個LinearLayout元件,在一個LinearLayout元件中，可以同時定義直向與橫向顯示內容元件,在LinearLayout元件中，可以透過android:orientation屬性定義內容元件排列方向,
123,下列哪些PowerManager屬性值，可預防螢幕進入睡眠模式？,FULL_WAKE_LOCK,SCREEN_BRIGHT_WAKE_LOCK,SCREEN_DIM_WAKE_LOCK,PROXIMITY_SCREEN_OFF_WAKE_LOCK,
14,下列哪些指令具有搜尋程式碼的功能？,[Ctrl] + [F],[Ctrl] + [Alt] + [O],[Ctrl] + [Shift] + [Enter],[Ctrl] + [Shift] + [F],
3,關於AlertDialog的敘述，下列哪一項錯誤？,可使用Builder方法建立Dialog內容,可使用setTitle方法加入Dialog標題,可使用setButton方法加入Dialog按鈕,可使用show方法顯示Dialog對話視窗,
1,Android預設會將資料庫儲存的資料存放在下列哪一項目錄下？,/data/data/package_name/databases,/data/app/package_name,/data/app/package_name/databases,/data/app,
2,要處理Broadcast Receiver，應該實作下列哪一項函式？,onStart,onReceive,onBroadcast,onCatch,
1,在Android Things APP中，要控制週邊IO設備（例如：GPIO、PWM、I2C、SPI等等），需加入下列哪一項權限？,com.google.android.things.permission.USE_PERIPHERAL_IO,com.google.android.things.permission.MANAGE_SENSOR_DRIVERS,com.google.android.things.permission.MANAGE_INPUT_DRIVERS,com.google.android.things.permission.MANAGE_GNSS_DRIVERS,
2,如果要畫一個三角形，需要用到下列哪一項android.graphics的class？,Rect,Path,RectF,Triangle,
2,Google在Android哪一個版本時引進了新的簽名版本V2（Signature Version V2），提供更高的安全性，不能對簽名後的APK做任何修改？,Android 6,Android 7,Android 8,Android 9,
3,使用WifiManager來掃描附近Wi-Fi熱點時，需註冊一個BroadcastReceiver，並攔截下列哪一個廣播訊息事件？,WifiManager.RSSI_CHANGED_ACTION,WifiManager.EXTRA_NETWORK_INFO,WifiManager.SCAN_RESULTS_AVAILABLE_ACTION,WifiManager.SCAN_RESULTS_ACTION,
2,利用數位簽章（金鑰）進行簽章過的APK檔案（Singed APK）方能上傳到Google Play。當我們設定數位簽章參數時需要輸入兩種密碼：金鑰檔案庫密碼以及金鑰密碼；而這些參數在設定後會儲存在模組內的組態設定檔（build.gradle）。請問下列哪一個參數代表「金鑰密碼」？,keyAlias,keyPassword,storeFile,storePassword,
1234,AndroidManifest.xml是Android應用程式中最重要的文件之一，記錄了應用程式的許多資料，下列哪些項目包含在內？,應用程式的完整名稱,應用程式包含的活動、內容提供者、廣播接收器和服務元件,宣告應用程式執行時需要的權限，例如：存取網路和GPS等,應用程式的目標和最小需求的API層級,
1,系統內建的Home（桌面）程式屬於Android框架的哪一層？,Application層,Application Framework層,Libraries層,Kernel & Driver層,
3,下列哪一項不是Android訊息通知（Notification）一定要設定的資料？,setSmallIcon,setContentTitle,setContentIntent,setContentText,
1234,權限管理將權限分為兩大類：一般權限與危險權限，請問下列哪些是屬於危險權限？,CALENDAR,CAMERA,LOCATION,MICROPHONE,
1,下列哪一項內建介面元件，設計目的是為了讓使用者在輸入內容時，能得到提示？,AutoCompleteTextView,EditText,SeekBar,RatingBar,
3,Android預設會將Preference的檔案存放在下列哪一項目錄下？,/data/data/package_name/files,/data/app/package_name/files,/data/data/package_name/shared_pref,/data/app/package_name/databases,
1234,在Android Studio新建專案的過程中，需勾選開發的應用程式種類，下列哪些選項包含在此範圍內？,Phone and Tablet,TV,Wear,Glass,
1,當使用者在PreferenceActivity內變更設定時，若要即時反應到App中，下列哪一項正確？,實作SharedPreferences.OnSharedPreferenceChangeListener的onSharedPreferenceChanged並註冊，當設定變更時會觸發,實作Activity的onSharedPreferenceChanged,需重新開啟App才有辦法反應變更結果,實作Activity的onChangeListener,
1,要寫一個呼叫不同程式的Activity，下列哪一項設定正確？,使用Intent.setClassName()方法呼叫Intent,使用ContentProvider呼叫Intent,使service定義背景呼叫Intent,不同應用程式間不可直接呼叫Activity,
2,Android中的DownloadManager系統服務，是使用下列哪一個方法搭配DownloadManager.Request來取得下載檔案的編號（id）？,query(),enqueue(),start(),begin(),
1,關於Notification訊息的敘述，下列哪一項正確？,可以呼叫notify方法來顯示Notification訊息,可以呼叫cancel方法來顯示Notification訊息,可以呼叫cancelAll方法來顯示Notification訊息,可以呼叫show方法來顯示Notification訊息,
1,開發Android App時，通常會在組態設定檔內指定Android SDK編譯環境的版本，下列哪一項正確？,android:compileSdkVersion,android:targetSdkVersion,android:maxSdkVersion,android:minSdkVersion,
1,如附圖所示之程式碼，下列哪一項是DAY_VIEW_MODE參數的正確型別？,int,string,double,list,
134,關於Android Studio匯入專案的敘述，下列哪些正確？,匯入後某些檔案的位置可能不同,程式碼需要重新撰寫,API版本不同時需要重新調整,SDK的路徑可能不一致，需要調整為本機電腦的SDK路徑,
2,若要使用快捷鍵Optimize Imports的功能自動整理Imports，下列指令哪一項正確？,[Ctrl] + [Shift] + [I],[Ctrl] + [Alt] + [O],[Ctrl] + [Shift] + [F],[Ctrl] + [Shift] + [Enter],
13,下列哪些內建介面元件，設計目的為讓使用者只能選擇其中一個選項？,RadioButton,CheckBox,Spinner,ListBox,
1,關於Preference的敘述，下列哪一項錯誤？,必須繼承PreferenceActivity才能存取Preference,同一個應用程式都可以存取到同個Preference,透過registerOnSharedPreferenceChangeListener，當設定變動時會呼叫登錄的callback,PreferenceManager#getDefaultSharedPreferences需傳入android.content.Context,
3,在Android Studio中，下列哪一項屬於檢查代碼的功能？,Reformat Code,Rearrange Code,Inspect Code,Code cleanup,
4,Android的動畫（Animation）是由四種型態（Type）所組成，下列哪一項不屬於Animation的型態？,scale,alpha,rotate,delta,
4,若要使用快捷鍵Reformat Code的功能，下列指令哪一項正確？,[Ctrl] + [F],[Ctrl] + [Alt] + [O],[Ctrl] + [Shift] + [Enter],[Ctrl] + [Alt] + [L],
1,請問支援程式庫（Android Support Library）的目的，下列敘述哪一項正確？,提供舊版作業系統的手機可以執行新的功能,提供新版作業系統的手機可以執行舊的功能,支援未來新手機的硬體規格,支援未來新手機的軟體功能,
4,"在全名為tw.test.Sample的Activity中使用getSharedPreferences(""test"",0)時，Preferences的檔名下列哪一項正確？",tw.test_preferences.xml,Sample_preferences.xml,Sample.xml,test.xml,
3,下列哪一項是取得電話服務所需要傳入的名稱？,getSystemService(Context.WIFI_SERVICE),getSystemService(Context.POWER_SERVICE),getSystemService(Context.TELEPHONY_SERVICE),getSystemService(Context.SENSOR_SERVICE),
2,若要將RecyclerView元件設定成為類似GridView元件且可以水平滑動的Layout，需要呼叫RecyclerView的哪一個LayoutManager？,GridLayoutManager,StaggeredGridLayoutManager,LayoutManager,HorizontalGridLayoutManager,
1,若要新建一個專案，下列哪一項正確？,File/New/New Project,File/New/New Module,File/New/Import Project,File/New/Import Module,
1,關於TextView元件的敘述，下列哪一項正確？,EditText類別繼承自TextView類別,在TextView元件中加入android:color宣告，可以指定文字顏色,TextView元件的作用是提供按鈕功能顯示,可以在TextView元件中輸入文字，並設定只能輸入數字,
1,如附圖所示之模組參數設定，假設開發中的Android專案沒有任何語法或設定錯誤，相關金鑰也已完成設定；當點擊「Run 'app'」，系統會自動產生可執行檔案（APK）。請問下列哪一個APK檔案會被生成？,app-freeVersion-release.apk,app-freeVersion-debug.apk,app-freeVersion.apk,app-debug.apk,
4,關於Notification訊息的敘述，下列哪一項錯誤？,可以在程式中控制Notification訊息的顯示,可以在程式中取消Notification訊息的顯示,背景服務可以透過Notification訊息提示運作狀態,Notification屬於Content Provider的一種,
1234,Android 7引入了網路安全性設定功能，讓應用程式在安全的宣告式設定檔中即可自訂網路安全性設定，而不必修改應用程式的程式碼，此功能的主要能力下列哪些正確？,Custom trust anchors自訂信任的憑證管理機構,Debug-only overrides僅偵錯覆寫,Cleartext traffic opt-out退出明碼流量,Certificate pinning憑證關聯,
1,要取得從另一個Activity返回的結果，應在原Activity中加入下列哪一項方法？,onActivityResult,getActivityByResult,getActivityForResult,onReceive,
12,Room產生資料庫的方法下列哪些正確？,Room.databaseBuilder,Room.inMemoryDatabaseBuilder,Room.MyDBHelper,Room.MemoryDatabaseBuilder,
14,當需要使用JobScheduler來執行實際的工作時，需要新建一個Service來繼承JobService，並且必須覆寫下列哪些方法？,onStartJob(JobParameters params),"onStartCommand(Intent intent, int flags, int startId)","jobFinished(JobParameters params, boolean wantsReschedule)",onStopJob(JobParameters params),
2,欲開發一應用程式，透過JNI來與C/C++程式溝通，此時C/C++程式要放在專案的下列哪一個資料夾下？,src,jni,assets,res,
23,如附圖所示之程式碼，關於content URI的敘述，下列哪些正確？,B部分為prefix，可以變更,A部分為prefix，不可以變更,D部分為指定某一筆資料的_id，如果要取得所有資料時可以將URI改為content://com.example.transportationprovider/trains,B部分不應該使用包含package的完整類別名稱，以保持獨特性，另外不可以與<provider>定義authorities的內容一致,
1,下列哪一項方法，可從一個Activity跳轉到另一個Activity（不需返回資訊）？,startActivity,startActivityByResult,startActivityForResult,newActivity,
4,開發Android App時，若考量「向前相容」的議題，通常會在組態設定檔內指定SDK的必要參數，下列哪一項正確？,android:compileSdkVersion,android:targetSdkVersion,android:maxSdkVersion,android:minSdkVersion,
4,關於Broadcast Receiver的敘述，下列哪一項正確？,可以在Broadcast Receiver中產生對話框,Broadcast Intent後會啟動對應的Activity,可以在Broadcast Receiver中bind Service,可透過Context.unregisterReceiver在Activity.onPause()中註銷註冊,
2,在應用程式中，如欲接收FCM（FireBase Cloud Message）所發出的訊息，需要程式中註冊一個Receiver，該Receiver中需要有一個intent-filter，請問intent-filter的名稱為下列哪一個？,com.google.firebase.messaging.default_notification_icon,com.google.firebase.MESSAGING_EVENT,com.google.android.gcm.service.RECEIVE,com.google.android.c2dm.service.RECEIVE,
2,要從一個Activity呼叫Service啟動時，會用到下列哪一項物件？,ServiceCall,Intent,Background,ServiceManager,
13,Android在背景最佳化（Background optimizations）技術中，應用程式現在已經無法發送或接收下列哪些廣播訊息？,ACTION_NEW_PICTURE,ACTION_NEW_OUTGOING_CALL,ACTION_NEW_VIDEO,所有廣播訊息皆可接收,
3,若要套用Android專案中，res/values/styles.xml檔案內所定義的App樣式，需要在下列AndroidManifest.xml檔案中，設定<application>標籤的哪一個屬性？,android:label,android:title,android:theme,android:name,
2,在targetSdkVersion為17或之後版本，必須在與JavaScript互動方法的前方增加下列哪一項標註（Annotation）？,@NavigationMode,@JavaScriptInterface,@AnyThread,@RequiresPermission,
12,下列哪些方法可以在Dialog中加入按鈕？,setPositiveButton,setNegativeButton,setRightButton,setNormalButton,
13,關於TextView元件的敘述，下列哪些正確？,在TextView元件中加入android:ellipsize宣告，可以讓過長的字串以跑馬燈效果顯示,在TextView元件中加入android:color宣告，可以指定文字顏色,在TextView元件中加入android:capitalize宣告，可以指定開頭文字大寫,在TextView元件中加入android:autoText宣告，可以讓Email自動以連結顯示,
2,關於Android Studio中GitHub與Git的環境設定，下列哪一項正確？,使用前不需要先安裝Git,需在「Path to Git executable」設定git.exe的位置,不需設定GitHub的帳號密碼,修改程式碼後會自動即時上傳,
1,開發中文軟體欲使用外部字型檔，須將外部字型檔放置於下列哪一項檔案目錄底下？,assets/fonts,res/drawable/fonts,res/layout/fonts,res/value/fonts,
1,當使用Google assistant時，需覆寫下面哪一個方法來建立ACTION_ASSIST intent以傳遞資料？,onProvideAssistData(),onProvideAssistContent(),onProvideStructure(),onProvideVirtualStructure(),
134,在Android中使用DOM來解析XML文件內容時，需要下列哪些物件才能取得XML文件內所有DOM元素（DOM element）？,DocumentBuilderFactory,Element,Document,DocumentBuilder,
14,在Git系統中，下列敘述哪些正確？,Commit是提交修改記錄到本地端數據庫,Commit是上傳修改記錄遠端數據庫,Push是提交修改記錄本地端數據庫,Push是上傳修改記錄遠端數據庫,
4,下列哪一項不是SQLiteDatabase所提供的方法？,execSQL,delete,insert,dropDatabase,
1,在全名為tw.test.Sample的Activity中使用PreferenceManager.getDefaultSharedPreferences(context)時，Preferences的檔名為下列哪一項？,tw.test_preferences.xml,Sample_preferences.xml,Sample.xml,test.xml,
1,"從一個Activity跳轉回到原呼叫的Activity時，經常傳入的RESULT_OK, RESULT_CANCELED參數是屬於下列哪一項型別？",int,string,double,list,
2,定義一個複雜的列表，需要有效率地顯示多個介面元件時，一般會使用下列哪一項版面配置元件？,LinearLayout,RelativeLayout,TableLayout,FrameLayout,
3,若要新建模擬器或是修改模擬器的設定，需在下列哪一項進行設定？,Navigation Editor,Android Device Monitor,AVD Manager,SDK Manager,
13,在Android Studio中，下列哪些項目屬於快速整理程式碼的功能？,Reformat Code,Inspect Code,Rearrange Code,Code cleanup,
123,相容性程式庫v7 appcompat library讓程式可以往後支援 Android 2.1 （API level 7）以使用一些新功能。請問下列哪些元件是v7 appcompat library所支援的新元件？,RecyclerView,GridLayout,CardView,TableLayout,
2,如果要確認Android應用程式是否在電視設備上運行，可以使用下列哪一項方法檢查App是否在電視模式下運行？,UiModeManager.getCurrentModeType() == Configuration.UI_MODE_TYPE_WATCH,UiModeManager.getCurrentModeType() == Configuration.UI_MODE_TYPE_TELEVISION,UiModeManager.getCurrentModeType() == Configuration.UI_MODE_TYPE_CAR,UiModeManager.getCurrentModeType() == Configuration.UI_MODE_TYPE_DESK,
3,Android中的樣式（Theme）是允許被繼承的，如果要繼承某個基本樣式時，需要使用下列<style>標籤中的哪一項屬性？,extend,inherit,parent,super,
3,當在專案內新增一個Android模組（Module）之後，系統全域組態檔內需加入新模組的名稱，下列哪一個檔案正確？,專案的build.gradle,模組內的build.gradle,專案的settings.gradle,專案的local.properties,
2,關於建立Content Provider的敘述，下列哪一項錯誤？,自行建立的Content Provider需繼承ContentProvider,Content Provider只能給同一個AndroidManifest.xml中所定義的Activity使用,建立的Content Provider，開發者可以使用自訂的資料存取方式存取資料,Content Provider可以讓某個應用所儲存的資料，被其他應用讀取或寫入,
1,系統內建的計算機程式屬於Android框架的哪一層？,Application層,Application Framework層,Libraries層,Kernel & Driver層,
4,結束一個Activity時，下列哪一項是正確的生命週期順序？,onCreate → onStart → onResume,onStop → onPause → onDestroy,onDestroy → onPause → onStop ,onPause → onStop → onDestroy,
1,關於android:id屬性的敘述，下列哪一項正確？,程式中可以使用對應的id來操作對應的介面元件,可以用id決定元件顯示順序,程式中可以用id產生新介面元件,一個介面元件中可以同時定義多個id,
3,從一個正在運作的程式切換到另一個程式時，原有Activity會先呼叫下列哪一項方法？,onStop,onDestroy,onPause,onRelease,
134,下列哪些方式是Android系統中所提供，可用來解析XML內容？,DOM,XSS,SAX,PULL,
2,若要利用Android Support Library程式庫來開發具有ActionBar的程式，模組組態設定檔（build.gradle）需要設定相關性，加入Android Support Library程式庫，下列哪一項正確？（註：xx.y.z會因SDK版本不同而有所不同）,com.google.android.gms:play-services:xx.y.z,com.android.support:appcompat-v7:xx.y.z,com.android.support:support-annotations:xx.y.z,com.android.support:recyclerview-v7:xx.y.z,
4,利用Android Studio開發專案時，若要匯出專案的設定資訊，需要利用下列哪一項功能？,File/Settings,File/Project Structure,File/Import Settings,File/Export Settings,
1,關於[BACK]鍵的敘述，下列哪一項正確？,按下[BACK]鍵會結束目前的Activity並將前一個Activity移到前景,按下[BACK]鍵會結束目前的Activity並將前一個Activity移到背景,按下[BACK]鍵會繼續目前的Activity並將前一個Activity移到前景,按下[BACK]鍵會繼續目前的Activity並將前一個Activity移到背景,
3,關於Android下SQLite的工具，下列敘述哪一項錯誤？,.tables顯示Table一覽,.scheme顯示Table定義,.dump刪除資料庫,sqlite3存取資料庫,
4,定義一個版面配置檔案，需要重疊顯示多個介面元件時，一般會使用下列哪一項版面配置元件？,LinearLayout,RelativeLayout,TableLayout,FrameLayout,
1,通知點（Notification Dots）是透過浮動圓點的方式來提醒使用者有未讀的通知，下列哪一項方法是顯示或隱藏該圓點的方法？,setShowBage(boolean),setShowDot(boolean),ShowBage(boolean),ShowDot(boolean),
2,如附圖所示之程式碼，若將附圖之程式碼寫進程式中，會執行下列哪一項動作？,使用完整路徑呼叫相對應的Intent,開啟瀏覽器瀏覽網頁,不動作,開啟Email程式寄送內容資訊,
2,Wear OS使用下列哪一個類別來建立訊息通知（Notification）需要的標題（ContentTitle）、圖示（Icon）及內容（ContentText）等資料？,Notification.Builder,NotificationCompat.Builder,WearNotification.Builder,Notification.Create,
34,將應用程式發佈至Google Play時，下列敘述哪些錯誤？,如果應用程式需要50MB以上的記憶體空間，可使用擴充程式檔儲存額外的APK資源,單一APK檔案大小上限為50MB,必須建立Google Play開發人員帳戶，且每年需繳交年費25美元,每個應用程式可多儲存兩個擴充程式檔，兩個檔案的大小上限皆為1GB,
4,當RecyclerView元件需要一個View來顯示內容選項時，會使用下列哪一個方法來建立需要的View？,onCreateView(),onCreateViewPage(),onNewView(),onCreateViewHolder(),
2,關於Notification訊息的敘述，下列哪一項錯誤？,可以加入音效提醒,可以加入影片提醒,可以加入震動提醒,可以加入閃燈提醒,
12,關於PreferenceManager.getDefaultSharedPreferences取得Preference的敘述，下列哪些正確？,Preferences保存的內容會在/data/data/%Package Name%/shared_prefs內,Preferences的檔案名稱為%Package Name%_preferences.xml,使用此方法時，需傳入檔案名稱及存取模式,Preferences可以任意設定儲存位置,
3,在Android SDK中，下列哪一項指令可以模擬記憶卡？,ddms,adb,mksdcard,draw9patch,
1,下列哪一個不是共享元素切換（Shared Elements Transition）所支援的動畫效果？,changeTextTransform,changeBounds,changeClipBounds,changeTransform,
4,下列哪一項類別與影音播放無關？,VideoView,MediaPlayer,MediaController,WidgetProvider,
14,在Android中，使用下列哪些物件來解析JSON格式之資料？,JSONArray,JSONNode,JSONTree,JSONObject,
24,關於Android指紋辨識技術的敘述，下列哪些正確？,Android 4.3版SDK中新增了指紋辨識API,應用程式中可使用getSystemService (Context.FINGERPRINT _SERVICE)取得FingerprintManager物件,以FingerprintManager.auth()方法來做指紋掃描認證,需在有支援指紋傳感器的設備上才能正常使用,
2,當開發一個背景執行的服務模組後，AndroidManifest.xml組態檔應加入下列哪一種標籤，該服務模組方可正常被叫用？,<activity ...>,<service ...>,<receiver ...>,<provider ...>,
2,安裝好Android Studio/Android SDK之後，系統會產生一個開發用的金鑰檔案庫，一般稱為除錯金鑰檔案庫（debug keystore），以利開發、除錯階段使用。請問下列哪一項可能是除錯金鑰檔案庫的位置（Windows環境）？,<專案路徑>\debug.keystore,C:\Users\<user>\.android\debug.keystore,<專案路徑>\<模組名稱>\debug.keystore,<JAVA_HOME>\debug.keystore,
1,使用下列哪一項方式可以取得SharedPreferences的物件？,PreferenceManager.getDefaultSharedPreferences(context);,new SharedPreferences();,new SharedPreferencesImpl();,SharedPreferences.getInstance();,
2,下列哪一項程式，可以將手機鈴聲模式設定為靜音模式？,AudioManager.setRingerMode(AudioManager.RINGER_MODE_NORMAL);,AudioManager.setRingerMode(AudioManager.RINGER_MODE_SILENT);,AudioManager.setRingerMode(AudioManager.RINGER_MODE_OFF);,AudioManager.setRingerMode(AudioManager.RINGER_MODE_VIBRATE);,
14,組態設定中關於App版本的參數，下列敘述哪些正確？,versionCode一定是數字，記錄該App發行的版本，主要是提供程式內部與應用程式商城（如：Google Play）辨識App版本之用,versionName一定是數字，記錄該App發行的版本，主要是提供程式內部與應用程式商城（如：Google Play）辨識App版本之用,versionCode可以是文字，記錄該App發行的版本資訊，主要是提供使用者辨識該App的版本,versionName可以是文字，記錄該App發行的版本資訊，主要是提供使用者辨識該App的版本,
2,如附圖所示之程式碼，這段程式碼比較可能出現在下列哪一類Activity中？,負責呼叫的Activity,被呼叫的Activity,全新啟動的Activity,Activity報表,
2,Android Things在設備更新策略中，下列哪一項策略是下載並套用可用更新？,POLICY_CHECKS_ONLY,POLICY_APPLY_ONLY,POLICY_APPLY_AND_REBOOT,無此策略,
